No.,Population Size,Tournament Size,Replacement Function,Mutation Function,Crossover Function,Execution Time,Optimize route,Best Fitness,Generation that achieve best fitness
6,798,32,Replace Weakest,Inversion,Partially Mapped Crossover (PMX),2.9152309894561768,"[9, 8, 10, 7, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0]",3323.0,755
9,556,9,Replace Weakest,Single Swap Mutation,Partially Mapped Crossover (PMX),2.1677660942077637,"[11, 5, 4, 3, 2, 13, 1, 0, 9, 8, 10, 7, 12, 6]",3323.0,1423
7,820,8,Replace Weakest,Single Swap Mutation,Partially Mapped Crossover (PMX),2.8738291263580322,"[11, 6, 12, 7, 10, 8, 9, 0, 1, 13, 2, 3, 4, 5]",3323.0,4854
10,996,22,Replace First Weakest,Single Swap Mutation,Order Crossover (OX),1.5505409240722656,"[11, 5, 4, 3, 2, 13, 1, 0, 9, 8, 10, 7, 12, 6]",3323.0,6008
2,857,13,Replace First Weakest,Inversion,Order Crossover (OX),1.4992578029632568,"[2, 3, 4, 5, 11, 6, 12, 7, 10, 8, 9, 0, 1, 13]",3323.0,7275
5,678,7,Replace First Weakest,Inversion,Order Crossover (OX),1.204671859741211,"[4, 3, 2, 13, 1, 0, 9, 8, 10, 7, 12, 6, 11, 5]",3323.0,9518
4,361,4,Replace Weakest,Single Swap Mutation,Partially Mapped Crossover (PMX),1.5467629432678223,"[8, 10, 12, 6, 11, 5, 4, 3, 2, 13, 1, 0, 7, 9]",3336.0,4129
3,345,10,Replace First Weakest,Inversion,Partially Mapped Crossover (PMX),1.2498319149017334,"[11, 5, 4, 3, 2, 13, 1, 9, 8, 10, 0, 7, 12, 6]",3371.0,1886
1,921,132,Replace Weakest,Inversion,Sequential Constructive Crossover (SCX),3.8146328926086426,"[11, 5, 4, 3, 2, 1, 0, 9, 8, 10, 7, 12, 6, 13]",3448.0,191
8,219,12,Replace Weakest,Single Swap Mutation,Sequential Constructive Crossover (SCX),1.153925895690918,"[9, 8, 10, 13, 2, 3, 4, 5, 11, 6, 12, 7, 0, 1]",3455.0,656
